Python,11-20K,1、精通Python语言，全日制本科毕业1年以上，优先考虑2~5年2、 满足下面一条即可优先2.1 有1年以上生产测试，工具开发经验2.2 有终端平台产品（耳机、音箱等）和音频/蓝牙单元测试经验2.3 有自动化脚本编写经验2.4 熟悉音频/蓝牙测试，音频/蓝牙问题的分析与解决2.5 具备良好的数学功底，能使用Matlab进行算法分析和仿真，精通频响，THD 及杂音测试算法,"中软国际有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码00354，员工约62,000人。面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（O2O）。线下业务依托中软国际多年积累起来的传统",东莞市 东莞市 溪流背坡村(华为)
Python自动化——松山湖（远程面试）,8-13K,Python自动化要2个（测试经验为主，Python为辅）。,软通动力信息技术（集团）有限公司： 软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数50000+,东莞市 东莞市 松山湖 光大we谷B栋3楼
Python,15-30K,1:熟悉Python一类脚本语言，能独立编写各类网络爬虫。2:对各类网站用户分析算法有一定了解，清楚如何区别真假用户访问。3:能独立搭建大量并发爬虫程序的服务器架构。,本公司持有中华人民共和国增值电信业务牌照(ISP)，业务模块包括1:互联网接入带宽业务，2:大数据互联网广告投放业务，3:aso业务搜索推广优化业务，4:大数据精准互联网营销推广业务。公司工作气氛活跃和谐，薪酬待遇行业领先，支持员工创业。我们一群朝气友好，工作方式轻松愉快，期待各路大牛加入一起发展。,东莞南城街道金汇科技园
Python,13-26K·14薪,Java/Python/JS/大数据 开发工程师要求：1.全日制统招本科以上学历，软件开发相关专业2.熟悉Java/Python/JS（任意一种均可），掌握Linux 和某种类型的数据库3.掌握常见的数据结构，算法。了解软件工程，敏捷开发等知识，熟悉常见设计模式4.理解SOA，微服务，中间软件等PaaS 相关的关键理念与技术，并对其有实践和应用经验者优先考虑。,消费者BG/软件部,东莞溪流背坡村(华为)
Python,15-30K·14薪,工作地：东莞职责概述：1、负责云服务、大数据服务及网络oss领域相关服务代码开发，能够与团队共同高质量交付的相应职责。2、负责子系统架构、模块化设计、分析，以及核心代码编写，能够与团队完成高质量交付的相应职责。专业知识：1. 熟悉Python语言经验者优先2. 熟悉Linux操作系统基础原理，熟练使用Linux系统3. 熟悉TCP/IP、HTTP等协议，有良好的网络、数据传输、安全、计算机体系结构方面的知识4. 有kvm或docker等虚拟化技术/项目开发经验的优先5. 有很强的学习能力，以及分析和解决问题的能力,华为在IP领域有着超过20年的专业积累，我们致力于打造差异化的创新产品，持续将5G、云、AI等数字技术创新运用于IP技术中，构建无处不在的极致联接体验，助力用户加速迈入万物互联的智能世界。市场份额持续领先：我们在全球150个国家拥有数万家渠道和合作伙伴，拥有500亿市场空间，5年内净增百亿，实现,东莞市 东莞市 溪流背坡村(华为)
Python,3-8K,1.可以使用python处理excel表格（相关工具包）：xlrd，xlwt，pandas，numpy2. 最好懂得简单的数据库的相关知识注：不需要有很多经验，能熟练使用python也可以，在校也可以,承包高端五星级酒店以及大型员工，机关事业单位食堂的厨房项目,东莞力特实业
Python,12-18K,1、统本及以上学历，计算机或相关专业毕业，2年以上开发经验2、熟悉python编程、设计模式和组件技术3、熟悉redis、hadoop、流式计算等技术优先4、具备独立开发功能模块的能力5、逻辑思维清晰，能够独立承受工作压力,"中软国际有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码00354，员工约62,000人。面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（O2O）。线下业务依托中软国际多年积累起来的传统",东莞市 东莞市 溪流背坡村(华为)
Python讲师,6-11K,职位要求：1.热爱教育事业，有创新思维；2.有爱心、亲和力、责任心强；3.有乐高及机器人教学经验者优先。招聘标准：满足以下3个条件之一即可。1.有少儿编程1年及以上教学经验2.师范专业毕业，有教师资格证，可接受应届生3.大学专科以上，理工科相关专业，有编程学习经历者上班地点：1.威尼斯广场君尚百货7楼709室2.南城西平文鼎大厦3.松山湖汇富中心4.……,目前招聘的上班地址是：1.东城莞城交界君尚百货7楼709室编程猫2.南城西平文鼎大厦3.石碣镇编程猫（Codemao）是中国知名青少年编程教育品牌，本着“无趣味，不编程”的教育理念，为全球青少年研发了图形化编程平台及系列编程课。通过学习，孩子们可以创作出充满奇思妙想,东莞编程猫东莞体验中心东纵路威尼斯广场君尚百货7楼
Python,10-15K,岗位要求:最低统招2本，17年毕业，无专业要求1. 负责基于python的软件快速开发、相关优化以及产品部署 ； 2、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题； 3、精通 python 语言开发，有1-3年以上后台开发经验； 4、熟悉web开发框架（django/tornado/flask），熟悉Linux操作系统及shell编程，熟悉BootStrap，熟练使用HTML，CSS，JavaScript等基本前端技术； 5、熟悉mysql，redis，mongo等常用数据库，具有数据库开发和设计能力； 6、了解异步框架、集群与负载均衡，消息中间件，容灾备份等技术；,软通动力信息技术（集团）有限公司： 软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数50000+,东莞市 东莞市 光大·We谷
Python,11-22K,智能运维系统开发，技术选型,消费者BG/软件部,东莞东莞市华为溪流背坡村F区
"开发（python,java,C#,JS）/DBA/OS运维",11-22K·14薪,1. 软件前后端开发2. DBA或OS等基础设施运维,华为在IP领域有着超过20年的专业积累，我们致力于打造差异化的创新产品，持续将5G、云、AI等数字技术创新运用于IP技术中，构建无处不在的极致联接体验，助力用户加速迈入万物互联的智能世界。市场份额持续领先：我们在全球150个国家拥有数万家渠道和合作伙伴，拥有500亿市场空间，5年内净增百亿，实现,东莞东莞市华为溪流背坡村F区F
少儿编程老师（python）,6-12K,岗位职责：1、 主要负责讲授6-16岁青少年编程课程；2、按照公司制定的教学计划，高质量完成教学任务；3、负责班级日常管理和维护工作；4、负责学生辅导和教学答疑等工作；5、参与优化和创新教学课程体系；6、配合其他部门完成相关工作。7、对于表现优秀的员工公司将给予大量的管理和运营知识的培训，并作为店长储备人才培养；任职资格：1、大专及以上学历，计算机专业或有学过Python(后端、爬虫）C、C++语言优先考滤；2、形象佳、亲和力强、有耐心和责任心，有较强的沟通表达能力；3、有教育培训行业经验者或者相关教师资格证书者优先。4、具有很强的思维表达能力，普通话标准，口齿伶俐；5、具有较强的亲和力，讲课生动活泼，知识面宽广；6、热爱教育事业，工作积极主动、责任心强加入海豚教育您将获得：1、岗前培训：完善的新人岗前带薪培训，教您全面掌握工作技能技巧；2、提供五险一金：社保五险；3、暖心补贴：享有通讯、餐饮及交通补贴；4、户外活动：不定期举行户外拓展及旅游活动；5、带薪假期：年休假、产假、婚假等有薪假期；6、节日庆贺：传统节假日、生日庆贺等福利。,,东莞市 东莞市 编程猫石龙体验中心 2号401室
Python,11-15K,"1、统招二本及以上学历，计算机或相关专业毕业，1年以上开发经验2、熟悉python编程、设计模式和组件技术3、熟悉redis、hadoop、流式计算等技术优先4、具备独立开发功能模块的能力5、逻辑思维	清晰，能够独立承受工作压力","中软国际有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码00354，员工约62,000人。面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（O2O）。线下业务依托中软国际多年积累起来的传统",东莞市 东莞市 光大We谷A区
python,8-13K,1.全日制二本或以上学历，理工科专业。2.熟练使用Linux命令，ant、python、shell至少熟练掌握1项。3.有过华为周边项目，或做过质量工程维护经验的优先。4.抗压力较强，有较强的沟通及协调能力。,软通动力信息技术（集团）有限公司： 软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数50000+,东莞市 东莞市 溪流背坡村(华为) E区
Python高级工程师,12-20K,"岗位职责：1、负责产品后端开发、优化2、负责开发web前端API  3、负责部分数据分析和挖掘工作4、数据驱动，不断通过产品和技术数据进行改进，并完成快速迭代任职要求：1、全日制本科(含)以上学历，计算机或相关专业2、5年以上实际python开发经验3、精通网页抓取原理及技术、正则表达式、xpath,能够从结构化的和非结构化的数据中获取信息；有能力破解复杂的图片验证码，有能力解决复杂的反爬限制；4、有 MySQL、 Redis 或 MongoDB 等相关数据库使用经验；5、有实时高并发海量数据爬取经验者优先；6、熟悉Flask或tornado后端开发框架7、熟悉RESTful API设计和开发8、有数据仓库开发经验者优先9、有数据分析经验者优先10、有物联网大数据开发经验者优先11、了解AI方面的基础知识和流行算法，熟悉Tensorflow，Pytorch等机器学习框架；","先知大数据有限公司由大数据专家余旸博士（CEO，创始人）、传感器及人工智能算法专家梁帆博士（CTO，联合创始人 ）共同建立.研发团队组由余旸博士和梁帆博士联合北京航天航空大学、清华大学，中国科学院，中国科学技术大学，CMU, UIUC, CASE 等国内内顶尖院校的人工智能专家和智能制造专家组成",东莞伟丰路
Python老师及助教,6-11K,职位要求：1.热爱教育事业，有创新思维；2.有爱心、亲和力、责任心强；3.有乐高及机器人教学经验者优先。招聘标准：满足以下3个条件之一即可。1.有少儿编程1年及以上教学经验2.师范专业毕业，有教师资格证，可接受应届生3.大学专科以上，理工科相关专业，有编程学习经历者上班地点：1.威尼斯广场君尚百货7楼709室2.南城西平文鼎大厦3.松山湖汇富中心4.……,目前招聘的上班地址是：1.东城莞城交界君尚百货7楼709室编程猫2.南城西平文鼎大厦3.石碣镇编程猫（Codemao）是中国知名青少年编程教育品牌，本着“无趣味，不编程”的教育理念，为全球青少年研发了图形化编程平台及系列编程课。通过学习，孩子们可以创作出充满奇思妙想,东莞汇富中心松山湖汇富中心二楼
高级 Python 程序员,15-25K·13薪,年底双薪,1、精通 Python2.x/3.x，精通 Perl 正则表达式，良好的编码风格2、熟悉 SHELL 编程3、熟悉 Debian/Centos 系统4、有简单的 Web 前端能力，起码能搞定 JavaScript/HTML 5、熟悉 Flask 框架和 websocket 项目6、熟悉 Apache/Nginx/PHP/MySQL/redis/memcached 等软件的部署与配置7、有 lua 语言编程经验的优先8、熟悉javascript，jquery9、有 Linux 运维及安全软件相关开发经验的优先,东莞市 东莞市 天安数码城C区C2栋 605
Python,10-20K,"工作职责    1. 负责公司网站的WEB后端和机器人后端框架层及业务层的实现    2. 负责web后端和机器人后端的相关文档编写    3. 负责公司应用设计、功能实现并进行测试，部署及维护        任职要求    1. 计算机或相关专业本科及以上学历，有扎实的计算机基础知识    2. 两年以上服务器端开发经验，熟悉Linux环境下的开发    3. 熟悉Python语言，熟练掌握Django、Web.py、Tornado、Flask等至少1个Web开发框架，了解Tornado框架    4. 动手搭建过实际上线的产品环境，如Apache,Nginx    5. 熟悉多线程编程    6. 熟悉Javascript / HTML / XML / JSON / HTML5 / JQuery    7. 熟悉SQL语言，熟悉MySQL或者Oracle    8. 有MongoDB、Redis、Memcached经验者优先        优先条件    1. 有过完整的项目开发经验，并有在运行项目的优先    2. 有一定前端设计能力者优先能快速阅读英文文献、论文    3. 有用Python技术做过相关的机器人项目    4.有大型项目经验者优先",云鲸智能是立志成为地面清洁机器人全球领导者的创新型创业公司，目前团队约150人，公司氛围开放，鼓励创新，获得专利超过70项。由大疆董事长、长江商学院副院长联合红杉资本、高瓴资本联合成立的清水湾基金投资，我们希望让机器真正服务于人，让用户有更多时间享受生活。公司首款产品云鲸J1智能拖地机，是全,东莞总部壹号(和堂路)
Python工程师,10-15K,"职位描述1、精通Python应用开发，有3年以上后台开发经验；2、精通Python Web框架（Django/Tornado/Flask);3、精通Scrapy、Beautiful Soup4等常用爬虫库，有实际的爬虫开发经验优先；4、熟悉Numpy、pandas、matplotlib等常用数据分析库，有实际的数据分析项目经验；5、精通Mysql、Redis、Mongo等常用数据库，具有数据库开发和设计能力优先；6、精通java优先。岗位要求：1、计算机相关专业,全日制大专及以上学历;2、逻辑清晰、工作认真、执行力强、积极乐观、学习能力强;3、了解计算机硬件、Linux基础;4、了解C/C++、Java等语言优先;5、Python基础知识扎实(熟练函数、面向对象、装饰器、多任务、网络通信);6、掌握数据库(MySQL、MongoDB、Redis、SQLite、sqlalchemy);7、掌握爬虫(xpath4、scrapy)、数据分析(numpy、pandas、matplotlib);8、掌握Django、Flask、Tornado一种以上,了解RESTful;",互联网公司,东莞市 东莞市 ITC万科中心
Python,15-30K·14薪,工作地：东莞职责概述：1、负责云服务、大数据服务及网络oss领域相关服务代码开发，能够与团队共同高质量交付的相应职责。2、负责子系统架构、模块化设计、分析，以及核心代码编写，能够与团队完成高质量交付的相应职责。专业知识：1. 熟悉Python语言经验者优先2. 熟悉Linux操作系统基础原理，熟练使用Linux系统3. 熟悉TCP/IP、HTTP等协议，有良好的网络、数据传输、安全、计算机体系结构方面的知识4. 有kvm或docker等虚拟化技术/项目开发经验的优先5. 有很强的学习能力，以及分析和解决问题的能力,消费者BG/软件部,东莞市 东莞市 溪流背坡村(华为)
python课程研发,5-8K,1.协助研发python少儿编程课程2.教授少儿编程课程3.培训教师python课程技能,成立于2017年10月，东莞第一家专业从事少儿编程的培训公司，目前运营厚街、南城、虎门三个直营校区，希望有激情的小伙伴能够一起加入公司，一起发展。目前需要运营、营销、销售、课程研发等岗位。目前公司品牌更名为鲸小子少儿编程,东莞东莞市鲸小子少儿编程(南城校区)D栋301
Python,12-24K,招聘985，211院校为主，软件开发人员为主。,华为在IP领域有着超过20年的专业积累，我们致力于打造差异化的创新产品，持续将5G、云、AI等数字技术创新运用于IP技术中，构建无处不在的极致联接体验，助力用户加速迈入万物互联的智能世界。市场份额持续领先：我们在全球150个国家拥有数万家渠道和合作伙伴，拥有500亿市场空间，5年内净增百亿，实现,东莞东莞市溪流背坡村(华为)
Python,5-10K,"深圳慧达工科招聘嵌入式stm32和python开发工程师各一名,全职兼职都可以,塘厦办公 微信和电话*********** 梁先生",深圳市慧达工程科技有限公司专注工程安全预警系统 传感器数据采集  现场无线自动组网 2G/3G/4G数据传输  云端集群  动态采集和数据分析专注于工程行业的安全监测，自主研发无线动态数据采集系统 提供从整体方案设计、研发、生产、采购、服务,东莞塘厦
